id,itemLabel,areaLabel,partyLabel
27,TSHATA SAKAPUMBA MARC,KATANGA,CPCD
28,VUNDWAWE TE PE MAKO FELIX,EQUATEUR,CPCD
1,AGBUMANA MOTINGA DIEUDONNE,EQUATEUR,CDF
2,BAMBOKA LOBENDI PIERRE,BANDUNDU,CDF
3,BONSOMI MOKPAMI JEAN BOSCO,EQUATEUR,CDF
4,BOPOLO MBONGEZA MBUNGA,EQUATEUR,CDF
5,EKAM WINA FERDINAND,EQUATEUR,CDF
6,GEMA DI MAGEKO OSCAR,KINSHASA,CDF
7,IPALAKA YOBWA JOSEPH,EQUATEUR,CDF
8,JEMSI MULENGWA JEAN KEVIN,SUD-KIVU,CDF
9,KAKULE MOLO PHERESIE,NORD-KIVU,CDF
10,KAMBALE KALIMUMBALU DIEUDONNE,NORD-KIVU,CDF
11,KAMBALE LUSENGEBONANE JEROME,NORD-KIVU,CDF
12,KATSUVA SYAHEMBULWA KAKUSI,NORD-KIVU,CDF
13,KATUMWA MUKALAY VICKY,KATANGA,CDF
14,KAYIBA MUAMBUYI ANNIE,KASAÏ ORIENTAL,CDF
15,LESSENDJINA IKWAME SEBASTIEN,BANDUNDU,CDF
16,MAKUBA LUTONDO RICHARD,BAS-CONGO,CDF
17,MANGBANZO DUA ENGENZA FULGENCE,EQUATEUR,CDF
18,MAZHUNDA ZANDA MARCEL,KINSHASA,CDF
19,MBUNGU MBUNGU NERON,KINSHASA,CDF
20,MUHINDO MATAYO SENGEMOYA,NORD-KIVU,CDF
21,MUNAYI MUNTU MONJI THOMAS,KASAÏ OCCODENTAL,CDF
22,NDUDI NDUDI PASCAL,BAS-CONGO,CDF
23,NGBANYO MBUNGA DETATO JOSE,EQUATEUR,CDF
24,NGUALA BANANIKA VICTOR,KINSHASA,CDF
25,NGWANDE MEBALE-BALEZU SERAPHIN,EQUATEUR,CDF
26,N’SOLE MOKORUBOBA MICHEL,BANDUNDU,CDF
27,ENGUNDA LITIMBA DENIS,EQUATEUR,CDF
28,BOYENDA AYELA CYRILLE,-,CDF
1,BAMANISA SAIDI JEAN,ORIENTALE,UDEMO ET COLLECTIF DES INDEPENDANTS
2,BAYOLI KAMBALE GODEFROID,NORD-KIVU,UDEMO ET COLLECTIF DES INDEPENDANTS
3,BOKONA WIPA BONZAL FRANCOIS,BANDUNDU,UDEMO ET COLLECTIF DES INDEPENDANTS
4,DUMBI MBADU FLORY,KINSHASA,UDEMO ET COLLECTIF DES INDEPENDANTS
5,FANGBI NGINDO KEKPE POPOLIPO GABRIEL,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
6,GAPEMONOKO LOBOTDUMBA JEAN MARIE,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
7,ILUNGA KAZADI BENJAMIN,KASAÏ ORIENTAL,UDEMO ET COLLECTIF DES INDEPENDANTS
8,KIMASI BEKILI FRANCINE,KINSHASA,UDEMO ET COLLECTIF DES INDEPENDANTS
9,KOYENGETE SOLO DESIRE,ORIENTALE,UDEMO ET COLLECTIF DES INDEPENDANTS
10,KPAWILI WEDOGULUNE JEAN PIERRE,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
11,LONGOMO NSONGO IWAWA TITIEN,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
12,MANZEMBELE KOKONGO CYRILLE,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
13,MOBUTU GIALA KASSA ALBERT PHILIPPE,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
14,MOHULEMBY BUBANGAKOZO JEAN-MATTHIEU,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
15,N’SINGA UDJUU JOSEPH,BANDUNDU,UDEMO ET COLLECTIF DES INDEPENDANTS
16,NSIMBA LUTETE ESAIE,BAS-CONGO,UDEMO ET COLLECTIF DES INDEPENDANTS
17,NTOMBOLO MUTUALA CAMILLE,KASAÏ OCCIDENTAL,UDEMO ET COLLECTIF DES INDEPENDANTS
18,TAKIS KUMBO JEAN-DOMINIQUE,ORIENTALE,UDEMO ET COLLECTIF DES INDEPENDANTS
19,TAKIZALA MASOSO ALEXIS,KATANGA,UDEMO ET COLLECTIF DES INDEPENDANTS
20,TSHILENGE MBUYI SHAMBUYI GEORGES,KASAÏ ORIENTAL,UDEMO ET COLLECTIF DES INDEPENDANTS
21,TSHOMBE NAWEJ JEROME,KATANGA,UDEMO ET COLLECTIF DES INDEPENDANTS
22,WISSO EYENGA MELANIE,EQUATEUR,UDEMO ET COLLECTIF DES INDEPENDANTS
23,NGOKOSSO APA MICHEL PIERRE,BANDUNDU,UDEMO ET COLLECTIF DES INDEPENDANTS
1,BASHIZI ZIRIMWAGABO MANASSE,SUD-KIVU,GPP
2,BATUMOKO AFOZUNDE JEAN PIERRE,ORIENTALE,GPP
3,BITAKWIRA BIHONA-HAYI JUSTIN,SUD-KIVU,GPP
4,BUNDA BITENDWA JEANNE,NORD-KIVU,GPP
5,DIUMASUMBU ANDRE,KASAÏ ORIENTAL,GPP
6,KAMONA YUMBA DIEUDONNE,KATANGA,GPP
7,KANYEGERE LWABOSHI SAMUEL,SUD-KIVU,GPP
8,KISALA WABONGYA SIMON,SUD-KIVU,GPP
9,MASUMBUKO BASHOMBA CHRISTOPHE,SUD-KIVU,GPP
10,MBAMBU MUGHOLE JULIETTE,NORD-KIVU,GPP
11,MPUNGUE MUITSHIKA MATTHIEU,KASAÏ ORIENTAL,GPP
12,MUBALAMA KASHAMANGALI DEOGRATIAS,SUD-KIVU,GPP
13,MULYA KALONDA ALAIN,KATANGA,GPP
14,MUNAMIRE MUNGU-AKONKWA ALPHONSE,SUD-KIVU,GPP
15,NDJOKU NYOU DJONIO,-,GPP
16,NGOYI KITANGALA RICHARD,KATANGA,GPP
17,SUMARI BALIKE FERNAND,SUD-KIVU,GPP
18,MASHAURI BAGANDA AUGUSTIN,SUD-KIVU,GPP
19,KUDURA ADIYO PASCALINE,KINSHASA,GPP
1,BAKAMBE SHESHA JACQUES,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
2,BOTSWALI LENGOMO BARTHELEMY,BANDUNDU,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
3,BULAMBO KILOSHO JEAN MARIE,SUD-KIVU,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
4,KALABA SANKWE BRIGITTE,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
5,KALALA MPOTOYI CRISPIN,KASAÏ ORIENTAL,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
6,KALUMBA MWANA NGONGO JUSTIN,MANIEMA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
7,KAUBO MUTULA LWA MATANDA CYPRIEN,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
8,KISIMBA NGOY MAJE,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
9,KYENGE SAMA KIPIOKA JEAN MICHEL,-,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
10,MBUYA MIBANGA WILFRID,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
11,MITENDO MWADI YINDA LUSEELA,BANDUNDU,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
12,MUKANYA NKASHAMA JEAN CHRISTOPHE,KASAÏ ORIENTAL,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
13,MULONGO NGOY IVAN,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
14,MULUMBA IZUELA ARTHUR,KASAÏ OCCIDENTAL,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
15,MUTUMBE MBUYA CRISPIN,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
16,NGABU KPARRI JEAN PIERRE,ORIENTALE,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
17,NGOIE WA MWENZE WILFRIED,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
18,NGOMA KOSI ABDOUL,BAS-CONGO,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
19,TSHIBANGU KALALA,KASAÏ ORIENTAL,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
20,WENGA BULAMBO CHARLY,SUD-KIVU,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
21,MUKALAY BIKUHANGILA JEAN LAMA,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
22,UVOYA CWINYA’Y JEAN MARIE,ORIENTALE,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
23,KAKUDJI YUMBA SOPHIE,KATANGA,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
24,KPENUMO MOOLONGAWI RABBIN,EQUATEUR,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
25,MUKEBA TSHIKALA JEAN PIERRE,KASAÏ OCCIDENTAL,"PAIX, DEMOCRATIE ET DEVELOPPEMENT"
1,EDO KASONGO BIN LILONDA,KATANGA,ODR
2,IDAMBITUO BAKAATO JEAN BAUDOUIN,ORIENTALE,ODR
3,KEMBUKUSWA NLAZA ALPHONSE,BAS-CONGO,ODR
4,KISOLOKELE LUKELO LEON,KINSHASA,ODR
5,LISANGA BONGANGA JEAN-PIERRE,KINSHASA,ODR
6,MULANGALA LWA KABWANGA MEDARD,KASAÏ OCCIDENTAL,ODR
7,MUNONGO BAN’CHY,KATANGA,ODR
8,NDAYE NKONDO MULEKELAYI LAURENT,KASAÏ OCCIDENTAL,ODR
9,OKUNDJI NDJOVU EMERY,KASAÏ ORIENTAL,ODR
10,VUEMBA LUZAMBA JEAN-CLAUDE,BAS-CNGO,ODR
11,WAMU ATAMINA HENRIETTE,KINSHASA,ODR
12,ENGBANDA MANANGA JOSE,EQUATEUR,ODR
13,MUKONKOLE KIBENGIE MUKI JEAN MARTIN,KASAÏ ORIENTAL,ODR
14,NE MUANDA SEMI,BAS-CONGO,ODR
15,LUMBALA TSHITENGE ROGER,KASAÏ OCCIDENTAL,ODR
16,MALOKA MAKONDJI PIERRE,EQUATEUR,ODR
17,MBOKASHANGA MIKOBI HELENE,KASAÏ OCCIDENTAL,ODR
18,MPAKA MAWETE RUFFIN,BAS-CONGO,ODR
1,AYOBANGIRA SAMVURA FRANCOISE,NORD-KIVU,LES NON INSCRITS
2,BAITSURA MUSOWA SCHADRAC,NORD-KIVU,LES NON INSCRITS
3,BALEMBO BALAMA KASOMBA ED.,ORIENTALE,LES NON INSCRITS
4,BANGANYIGABO KANYESHULI B.,NORD-KIVU,LES NON INSCRITS
5,BOFASSA DJEMA CHARLES,EQUATEUR,LES NON INSCRITS
6,DHETCHOUVI MATCHU-MANDJE,ORIENTALE,LES NON INSCRITS
7,DIMANDJA AMBOWA FEZA ELYSEE,KINSHASA,LES NON INSCRITS
8,EJIBA YAMAPIA EVARISTE,KINSHASA,LES NON INSCRITS
9,KADIMA LUBEMBA ALEXIS,KASAÏ ORIENTAL,LES NON INSCRITS
10,ILUNGA KAMBALA MUSASA ROBERT,KASAÏ OCCIDENTAL,LES NON INSCRITS
11,KABAGAMBE MAGBO CLAUDE,ORIENTALE,LES NON INSCRITS
12,KASWARA TAHIGWOMO PELE,ORIENTALE,LES NON INSCRITS
13,KATOLU MUNONA MALU ETIENNE,KASAÏ ORIENTALE,LES NON INSCRITS
14,LIKULIA LIFOMA CLAUDIEN,ORIENTALE,LES NON INSCRITS
15,LOGO MUGENYI JEAN-CLAUDE,ORIENTALE,LES NON INSCRITS
16,MAKILA NGAKIBER SWANI PRINCE SYLVESTER,BANDUNDU,LES NON INSCRITS
17,MATADI NENGA GAMANDA,KINSHASA,LES NON INSCRITS
18,MBATA MANGU ANDRE,KASAÏ OCCIDENTAL,LES NON INSCRITS
19,MOPIPI MUKULUMANYA AUGUSTE,SUD-KIVU,LES NON INSCRITS
20,MULAMBA KATOKA DONATIEN,KASAÏ OCCIDENTAL,LES NON INSCRITS
21,ONUSUMBA YEMBA ADOLPHE,KASAÏ ORIENTAL,LES NON INSCRITS
22,PAY PAY WA SIAGASICHE,NORD-KIVU,LES NON INSCRITS
23,SABITI MUHIRE GEORGES,NORD-KIVU,LES NON INSCRITS
24,TSHITOKA NGALAMULUME PASCAL,KASAÏ OCCIDENTAL,LES NON INSCRITS
25,VUNABANDI KANYAMIHIGO CELESTIN,NORD-KIVU,LES NON INSCRITS
