@@,itemlabel,partylabel,arealabel,gender,psid
+++,MASAMBA MALUNGA Jean-Didier,ADU,KASANGULU,male,
+++,MASANGA KISIGAY Etienne,,UBUNDU,male,
+++,MASANGU BIBI MULOKO Mireille,G7,LUBUMBASHI VILLE,female,
+++,MASELA KILUTY ZURY,RRC,IDIOFA,male,
+++,MASIKINI MBILI Lylie,MS,BUSINGA,female,
+++,MASSIALA PHOBA Charlotte,DO,LUKUNGA,female,
+++,MASTAKI NAMEGABE Justin,UNC,BUKAVU VILLE,male,
+++,MASUMBUKO NYENYEZI Solange,AFDC-A,LUKUNGA,female,
+++,MATADI NENGA GAMANDA,RIA,TSHANGU,male,
+++,MATADI WAMBA KAMBA MUTU Tharcisse,AFDC-A,KENGE,male,
+++,MATONDO KIVUILA Roger,PPRD,MBANZA-NGUNGU,male,
+++,MATUKU MEMAS Lambert,,GUNGU,male,
+++,MATUMONA ZOLA Alain,MS,BOLOMBA,male,
+++,MATUTALA MU KANDA NTEKO MAKENGO,ADRP,MADIMBA,male,
+++,MAVUDILA KONGO Romain,AABC,KENGE,male,
+++,MAVUNGU TSIKU Joachim,AAB,SEKE BANZA,male,
+++,MAYUMA KASENDE Louise,PPRD,BULUNGU,female,
+++,MBADU PHANZU Crispin,AAB,TSHELA,male,
+++,MBAKATA PUTU Freddy,PALU&Alliés,TSHANGU,male,
+++,MBAKI MANSANGA Bernard,ABCE,TSHANGU,male,
+++,MBALO LUANGE Christine,PPRD,TSHIKAPA,female,
+++,MBAMBI PHOBA Adrien,AMK,BOMA VILLE,male,
+++,MBANGA MANZIMI Sébastien Rodolph,PPRD,YUMBI,male,
+++,MBATA BETU KUMESU MANGU André,UDPS/Tshisekedi,DIMBELENGE,male,
+++,MBATSHI BATSHIA Simon Floribert,PPRD,LUKULA,male,
+++,MBAU SUKISA Daniel,MLC,MONT AMBA,male,
+++,MBAYA KANDUDI Jean,PALU&Alliés,TSHIKAPA,male,
+++,MBAYO YAHENGA Benoît,PPRD,KONGOLO,male,
+++,MBEMBA KABUYA Samuel,ABCE,LUKUNGA,male,
+++,MBEMBA MUKOBIAWU Jeanne,ACC,MASIMANIMBA,female,
+++,MBENGELE KWETE THAMUK Constantin,AFDC-A,MWEKA,male,
+++,MBIKAYI PASHI Marielle,AFDC-A,MONT AMBA,female,
+++,MBILAMBANGU LUNGAMBO Anne-Marie,CPR,ILEBO,female,
+++,MBINDULE MITONO Crispin,UNC,BUTEMBO VILLE,male,
+++,MBOMA MPYA NDAANGYE Firmin-Dupont,AAAC,TSHANGU,male,
+++,MBOMBO MUTSHIMPAYI Elisabeth,AFDC-A,KAZUMBA,female,
+++,MBOSO N’ KODIA PWANGA Christophe,ABCE,KENGE,male,
+++,MBOYO PAPY BIKANZA Jean-Marie,ABCE,BIKORO,male,
+++,MBUKU BALELE Pepe,AFDC-A,MBANZA-NGUNGU,male,
+++,MBUKU LAKA Boris,G7,IDIOFA,male,
+++,MBUMBA MAVUNGU Pétronelle,ACO,MONT AMBA,female,
+++,MBUYU KABANGO MUKOLWE Célestin,PPPD,KABONGO,male,
+++,MEMBA EBENGA NANOU,ADRP,KIPUSHI,male,
+++,MENDE OMALANGA Lambert,ALLIANCE,LODJA,male,
+++,MIDI GIAMANY ZOZEY Ambroise,UDPS/Tshisekedi,MOANDA,male,
+++,MILOLO DIBONDO ZOBEL,AFDC-A,TSHIKAPA,male,
+++,MINAKU NDJALANDJOKO Aubin,PPRD,IDIOFA,male,
+++,MIRUHO AKILI Prosper,UNC,IDJWI,male,
+++,MISARE MUGOMBERWA Claude,UNC,UVIRA,male,
+++,MOKOLO NDJOLI Tania,G7,MAKANZA,female,
+++,MOMBUNZA LIBOTOLO Annie,MLC,BUDJALA,female,
+++,MONDOLE ESO LIBANZA Léon,ACC,LISALA,male,
+++,MOPONDI MALOKA MUGAI John,PPPD,KUNGU,male,
+++,MOTA NGALIEMA Léonard,PPPD,TSHANGU,male,
+++,MOTEMONA GIBOLUM Godard,PPRD,MONT AMBA,male,
+++,MOUSSA KALEMA SANGOLO ZAKU,AAAC,MASI-MANIMBA,male,
+++,MOVA SAKANYI Henri,PPPD,LUKUNGA,male,
+++,MPANGA WA LUKALABA Jean-Jacques,ACO,MITWABA,male,
+++,MPIA LOTETE Messie,PPRD,KIRI,male,
+++,MPIA MENAZAMBILI Claude,UNC,MONT AMBA,male,
+++,MPIANA NTUMBA Simon,UNC,KANANGA VILLE,male,
+++,MPONGO NKITA ILANGA NZALI Jean-Claude,PPRD,INONGO,male,
+++,MPOSHI KIBAMBE Dieudonné,PPPD,LUBAO,male,
+++,MPUNGA MUSHA MUSHA Charles Guillaume,UDPS/Tshisekedi,MWENE-DITU VILLE,male,
+++,MPUTU YALIKO KELPER,CPR,INONGO,male,
+++,MSAFIRI KYAKAKALA BENEZETH,AABC,LUBERO,male,
+++,MUABILU MUALUKIE Winnie,AA/a,MONT AMBA,female,
+++,MUAKASA HEVA Evariste,APCO,BOMA VILLE,male,
+++,MUANZA MUNYA Papy Bon Soleil,UDPS/Tshisekedi,TSHIKAPA VILLE,male,
+++,MUBA KITWA Damase,PPRD,BIUKAMA,male,
+++,MUBAMBE WA LUMBULWA Khiler,AMK,LIKASI VILLE,male,
+++,MUBER THONIOT Serge,PCD,MAHAGI,male,
+++,MUBIKAYI MUBALAMATE Léon,UDPS/Tshisekedi,LUEBO,male,
+++,MUBONZI MURHOMULUME Bertin,UNC,LUKUNGA,male,
+++,MUDEKEREZA NAMEGABE Olive,AFDC-A,WALUNGU,male,
+++,MUFALME TAMBWE SOKORO,ADRP,KONGOLO,male,
+++,MUFULA JIVE JOSUE,AAB,GOMA VILLE,male,
+++,MUGIRANEZA NDIZEYE Jules,AABC,MASISI,male,
+++,MUHINDO KASEKWA Jean-Baptiste,DO,GOMA VILLE,male,
+++,MUHINDO MULEMBERI VAHUMAWA Paul,AR,BENI,male,
+++,MUHINDO NZANGI BUTONDO,MS,BUTEMBO VILLE,male,
+++,MUHIYA LUMBU Eustache,,KALEMIE VILLE,male,
+++,MUINGA TULELA Nelly,ACO,SONGOLOLO,female,
+++,MUKASA KALEMBWE Calixte,AMK,KIPUSHI,male,
+++,MUKEBA M’FOUTA Albert – David,ADRP,MIABI,male,
+++,MUKENA YUMBA Patient,PPRD,MALEMBA NKULU,male,
+++,MUKENDI FONTSHI KANYINDA Serge,ADRP,TSHILENGE,male,
+++,MUKONGA KASAMBA Arsène,ABCE,LUBUDI,male,
+++,MUKUNDI NYEMBO KAHUMBA Emmanuel,CODE,NYUNZU,male,
+++,MULAMBA MPUTU Simon,AR,TSHIKAPA,male,
+++,MULIMBALIMBA MASURURU Luc,AFDC-A,UVIRA,male,
+++,MULONGO NZEMBA COCO Jacques,UDPS/Tshisekedi,LUBUMBASHI VILLE,male,
+++,MULUMBA KANZA Augustin,UDPS/Tshisekedi,NGANDAJIKA,male,
+++,MUNDIA NEKE Pétillon,MS,KUTU,male,
+++,MUNGA MESOZI Louise,PPRD,FIZI,female,
+++,MUNGANGA GADIMBA GEMBI Cléophas,MS,BULUNGU,male,
+++,MUNKIE MBALI IBA Didier,MLC,TSHANGU,male,
+++,MUNONGO INAMIZI Dominique,AMK,LUBUDI,female,
+++,MUNUBO MUBI Juvénal,UNC,WALIKALE,male,
+++,MUNYOMO BASILWANGO Patrick,AFDC-A,GOMA VILLE,male,
+++,MUPASA LUKOBO Dhedhe,ADRP,IDIOFA,male,
+++,MUPEKA KINDUNDU Jocelyne,ACC,BULUNGU,female,
+++,MUSAMBYA KABWE Freddy,UDPS/Tshisekedi,FIZI,male,
+++,MUSAO KALOMBO MBUYU Célestin,AA/a,KABONGO,male,
+++,MUSEMENA BONGALA Gaston,PPRD,UBUNDU,male,
