id,itemLabel,partyLabel,areaLabel,gender
200,KOLOBA DENGE Robert,AFDC-A,LIBENGE,male
201,KONZI LUVUNGU Floribert Fofo,PPPD,LUBUMBASHI VILLE,male
202,KOTONGO ANFIO BATO Jean-Bosco,G18,BUSINGA,male
203,KUHATELELA GUBEMBEYA Lucie,PPRD,GUNGU,female
204,KULUNGU DOUG,AAB,KASONGO-LUNDA,male
205,KUTEKALA KAAWA Albert,PPRD,KASONGO-LUNDA,male
206,LEBE MUPIYA Florent,AAAC,FUNA,male
207,LEKU APUOBO Emmanuel,AFDC-A,MAMBASA,male
208,LEMBI LIBULA Joseph,MLC,LISALA,male
209,LENGA WALENGA Alexis,MLC,GEMENA,male
210,LIHAU EBUA KALOKOLA Jean-Pierre,PPPD,BUMBA,male
211,LIKINDA BOLOM’ELENGE Fidèle,PPRD,IKELA,male
212,LINGO NGBANDANI Prince Ibrahim,ACO,BONDO,male
213,LIYOTA NDJOLI Bienvenu,AAB,LUKUNGA,male
214,LOKANA BAHATI Fidèle,ADRP,DJUGU,male
215,LOKOKA ISAKA François,MIP,BOKUNGU,male
216,LOKONDO YOKA Henri-Thomas,PALU&Alliés,MBANDAKA,male
217,LOMASA OKOTO DOMBELO Franck,PPRD,LOMELA,male
218,LOMBAKU LOHENDA Jean-Marc,ALLIANCE,LODJA,male
219,LONGONYA LAWODJA Charles,ALLIANCE,KATAKO-KOMBE,male
220,LOOLA EKOFO Floribert,RRC,BOKUNGU,male
221,LOTANA LOKASOLA Albert,AAB,DJOLU,male
222,LOTHAPE MADIMBO Nelson,PPRD,KOLE,male
223,LUBAYA Claudel André,AMK,KANANGA VILLE,male
224,LUKIANA MUFWANKOLO DIALUKUPA Marie-Ange,ADU,TSHANGU,female
225,LUKONO SOWA Dominique,AFDC-A,DEMBA,male
226,LUKULASI MASSAMBA Jean-Marie,AFDC-A,FUNA,male
227,LUKUSA KASHALA Willy,ADRP,MBUJI-MAYI VILLE,male
228,LUMANU CIMPAKA Véronique,PPRD,KABINDA VILLE,female
229,LUMANU MULENDA BWANA NSEFU Adolphe,PPRD,KABINDA,male
230,LUMBU KIALA René,RRC,KASONGO-LUNDA,male
231,LUMBU NGOY Yannick,ATIC,LUBUMBASHI VILLE,male
232,LUMEYA DHU MALEGHI Léonard,APCO-DDC,KIKWIT VILLE,male
233,LUNGUANA MATUMONA Jacques,MLC,MBANZA-NGUNGU,male
234,LUSENGE KAMBALE BONANE Jérôme,AR,LUBERO,male
235,LUTHELO NYUDI Muller Oscar,PPPD,MATADI VILLE,male
236,LUTUNDULA APALA PEN’APALA Christophe,G7,KATAKO-KOMBE,male
237,LUWALA NGAMAKOSHI Hubert,AAAC,BULUNGU,male
238,LUWEPE MAYARA Justin,PALU&Alliés,ILEBO,male
239,LUWUNDJI OKITASOMBO Alexis,AAAC,LODJA,male
240,MABUNDA LIOKO Jeanine,PPRD,BUMBA,female
241,MADIMBA KALONJI Daniel,MLC,KATANDA,male
242,MAEMBO GELINGI Paulin,MLC,ISANGI,male
243,MAFEFE MUKOZO MWENE LUSENGA Aimé,AFDC-A,DILOLO,male
244,MAFUTA KABONGO Guy,MIP,TSHIKAPA,male
245,MABGENGU SWANA EMINA MONZIA Dismas,ABCE,BUMBA,male
246,MAISHA BISHOBIBIRI Alfred,UNC,BUKAVU VILLE,male
247,MAKENGO LUTIMBA Hubert,AFDC-A,KASONGO,male
248,MAKENGO NGOMBE MATOKA Charles,,TSHANGU,male
249,MAKIASHI WILLY Willy,PALU&Alliés,GUNGU,male
250,MALANDJI MUJINGA Patient,ADRP,KOLWEZI VILLE,male
251,MALUKU POMBI Claude,ZAIRE,LISALA VILLE,male
252,MAMBA KABAMBA Jean-Jacques,MLC,LUKUNGA,male
253,MAMBEMBA MUKENGELE Florent,AABC,TSHANGU,male
254,MAMBIDI KOLOBORO Jean-Marc,AR,WATSA,male
255,MAMBO KATUNDA Jean-Bosco,DO,BAGATA,male
256,MAMPA MBEMBILA Belly,AMK,KASANGULU,male
257,MANARA LINGA Didi,PPRD,KASONGO,male
258,MANDA KANSABALA Jean,AMK,MOBA,male
259,MANDJUANDJUA MAYEMBE LA JEUNESSE,PCD,ILEBO,male
260,MANGABU LUABEYA Nadine,UDPS/Tshisekedi,MBUJI-MAYI VILLE,female
261,MANGAY BOSABA Pascal,AA/a,KUNGU,male
262,MANGAY MUMVUNGA Patrick,AA/a,FUNA,male
263,MANTEZOLO DIATEZUA Papy,CODE,LUOZI,male
264,MAOMBI KATSHONGO Sosthène,AFDC-A,LUBERO,male
265,MASAMABA MA-KIESE Rémy,UDPS/Tshisekedi,MONT AMBA,male
266,MASAMBA MALUNGA Jean-Didier,ADU,KASANGULU,male
267,MASANGA KISIGAY Etienne,,UBUNDU,male
268,MASANGU BIBI MULOKO Mireille,G7,LUBUMBASHI VILLE,female
269,MASELA KILUTY ZURY,RRC,IDIOFA,male
270,MASIKINI MBILI Lylie,MS,BUSINGA,female
271,MASSIALA PHOBA Charlotte,DO,LUKUNGA,female
272,MASTAKI NAMEGABE Justin,UNC,BUKAVU VILLE,male
273,MASUMBUKO NYENYEZI Solange,AFDC-A,LUKUNGA,female
274,MATADI NENGA GAMANDA,RIA,TSHANGU,male
275,MATADI WAMBA KAMBA MUTU Tharcisse,AFDC-A,KENGE,male
276,MATONDO KIVUILA Roger,PPRD,MBANZA-NGUNGU,male
277,MATUKU MEMAS Lambert,,GUNGU,male
278,MATUMONA ZOLA Alain,MS,BOLOMBA,male
279,MATUTALA MU KANDA NTEKO MAKENGO,ADRP,MADIMBA,male
280,MAVUDILA KONGO Romain,AABC,KENGE,male
281,MAVUNGU TSIKU Joachim,AAB,SEKE BANZA,male
282,MAYUMA KASENDE Louise,PPRD,BULUNGU,female
283,MBADU PHANZU Crispin,AAB,TSHELA,male
284,MBAKATA PUTU Freddy,PALU&Alliés,TSHANGU,male
285,MBAKI MANSANGA Bernard,ABCE,TSHANGU,male
286,MBALO LUANGE Christine,PPRD,TSHIKAPA,female
287,MBAMBI PHOBA Adrien,AMK,BOMA VILLE,male
288,MBANGA MANZIMI Sébastien Rodolph,PPRD,YUMBI,male
289,MBATA BETU KUMESU MANGU André,UDPS/Tshisekedi,DIMBELENGE,male
290,MBATSHI BATSHIA Simon Floribert,PPRD,LUKULA,male
291,MBAU SUKISA Daniel,MLC,MONT AMBA,male
292,MBAYA KANDUDI Jean,PALU&Alliés,TSHIKAPA,male
293,MBAYO YAHENGA Benoît,PPRD,KONGOLO,male
294,MBEMBA KABUYA Samuel,ABCE,LUKUNGA,male
295,MBEMBA MUKOBIAWU Jeanne,ACC,MASIMANIMBA,female
296,MBENGELE KWETE THAMUK Constantin,AFDC-A,MWEKA,male
297,MBIKAYI PASHI Marielle,AFDC-A,MONT AMBA,female
298,MBILAMBANGU LUNGAMBO Anne-Marie,CPR,ILEBO,female
299,MBINDULE MITONO Crispin,UNC,BUTEMBO VILLE,male
300,MBOMA MPYA NDAANGYE Firmin-Dupont,AAAC,TSHANGU,male
