item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
,BOLOGNA RAFIKI Patrick,,AFDC ET ALLIES,,,,,male
,BOMBELOSANDA BALUMA Patrick,Q1235589,PPRD,,,,,male
,BOMPINI BALINGA Michel,Q3326837,MSR ET ALLIES,,,,,male
,BONDOMISO BEBISYAME Clestin,,R E E,,,,,male
,BOONGO NKOY Pancrace,Q1235589,PPRD,,,,,male
,BOPOLO MBONGEZA Robert,,GPR,,,,,male
,BOSHAB MABUDJ Evariste,Q1235589,PPRD,,,,,male
,BOTAKILE BATANGA Nol,Q3087061,PALU ET ALLIES,,,,,male
,BOTOMBULA TABU Albert,,AFDC ET ALLIES,,,,,male
,BUDRI NGADUMA Jean-Christophe,,AFDC ET ALLIES,,,,,male
,BUDU TANDEMA Vital,,T A,,,,,male
,BUHENDWA LUBAGIRE Franois,,AFDC ET ALLIES,,,,,male
,BULAMBO KILOSHO JearrMane,,ARD,,,,,male
,BULE GBANGOLO BASABE Mohamed,Q144806,MLC ET ALLIES,,,,,male
,BULUKUNGU BERA KAY Nicolas,Q1235589,PPRD,,,,,male
,BULUPIY GALATI Simon,Q1235589,PPRD,,,,,male
,BUSSA TONGBA Jean-Lucien,Q144806,MLC ET ALLIES,,,,,male
,BUTOR BODIAS Michel,Q3326837,MSR ET ALLIES,,,,,male
,BUTSITSI NAMWANVE Jeanne,,UNITE,,,,,female
,CAMUNANI KALAZO Docard,,UNC ET ALLIES,,,,,male
,CHIKVVEJ KAZUW' A CHIK,,T A,,,,,male
,CHIRHULW1RE II BULALA BASENGEZI Richard,Q1235589,PPRD,,,,,male
,CHITULI NABWIRA Dogratias,,AFDC ET ALLIES,,,,,male
,CHURA BILO Joseph,Q3326837,MSR ET ALLIES,,,,,male
,CIMANUKA NGABO-YEKA PaCifigue,Q3326837,MSR ET ALLIES,,,,,male
,DANGBELE NGOTUGA Yvon,Q144806,MLC ET ALLIES,,,,,male
,DARUWEZI APENDEKI Marcelline,,EDD,,,,,female
,DARUWEZI MOKOMBE Jean-Pierre,,EDD,,,,,male
,DASYO MOKFE Thalie,Q1235589,PPRD,,,,,male
,DHETCHUVI MATCHU MANDJE Jean-Baptiste,,UNC ET ALLIES,,,,,male
,DIONGO SHAMBA Franck,Q327591,NON INSCRITS,,,,,male
,DITU MONIZI Blaise,Q1629663,UDPS/FAC,,,,,male
,EDUMBADUMBA EGBULA Pierre Csar,Q1235589,PPRD,,,,,male
,EGWAKE Y'ANGEMBE Orner,Q144806,MLC ET ALLIES,,,,,male
,EHOLO EONI Norbert,,GPLDS,,,,,male
,EKOF0 PANZOKO,Q1235589,PPRD,,,,,male
,EKOMBE MPETSI Toussaint,,GPR,,,,,male
,ENDUNDO EVELE Olivier,,GPR,,,,,male
,ENERUNGA MUUNDA Anselme,,GPR,,,,,male
,ETIBAKO EDI NDITO Filbert Brel,Q1235589,PPRD,,,,,male
,ETUMANGELE ASEKE KANGASEKE Emile,,GPR,,,,,male
Q18019786,EWANGA IS'EWANGA Jean Bertrand,,UNC ET ALLIES,,,,,male
,EZADRI EGUMA Norbert,Q3326837,MSR ET ALLIES,,,,,male
,EZATY MERIKO Patrice,,EDD,,,,,male
,FASO MUSHIGO Celestin,Q3087061,PALU ET ALLIES,,,,,male
Q3295417,FAYULU MADIDI Martin,Q1629663,UDPS/FAC,,,,,male
,FURAHA UMA Daniel,,AFDC ET ALLIES,,,,,male
,GABUBA MAFU Florent,Q3087061,PALU ET ALLIES,,,,,male
,GACHURUZI BULAKILA SHALLY Boniface,,AFDC ET ALLIES,,,,,male
,GAPEMONOKO LOBODUMBA Jean-Marie,Q3326837,MSR ET ALLIES,,,,,male
,GEAKORO NDAMBOMALE Thophile,Q1235589,PPRD,,,,,male
,GERENGBO YAZALO Marie Therse,Q1235589,PPRD,,,,,female
,IK1Y0 INGUTU Y'OKANGA Jos,,ARD,,,,,male
,IKULU LAMAJANA Ibrahim,,GPR,,,,,male
,ILUNGA KAMPANYI Jean-Pierre,,R E E,,,,,male
,ILUNGA KOUVAS Miche,,T A,,,,,male
,ILUNGA LEU Marcel,,ARD,,,,,male
,ILUNGA MONDA Simplice,,AFDC ET ALLIES,,,,,male
,ILUNGA NKULU NENE,,AFDC ET ALLIES,,,,,female
,INDULU EKUNS Do Gratias,Q1235589,PPRD,,,,,male
,INGILA BOKONDO KOVO,Q1629663,UDPS/FAC,,,,,male
,IPALAKA YOBWA,Q1235589,PPRD,,,,,male
,ISOFALE BONYOKO Nicolas,Q144806,MLC ET ALLIES,,,,,male
,ITSHITOKA NGALAMULUME Pascal,Q1235589,PPRD,,,,,male
,JEMSI MULENGWA Jean Kevin,,ARD,,,,,male
,K1N-KIEY MULUMBA Gasha,,T A,,,,,male
Q3163304,KABILA KYUNGU JAYNET DESIRE,Q327591,NON INSCRITS,,,,,female
Q19629165,KABILA MWANZA MBALA Zo,Q1235589,PPRD,,,,,male
,KABILA WA NKULU Prosper,,T A,,,,,male
,KABOMBO MUADIANVITA Guy,Q1629663,UDPS/FAC,,,,,male
,KABONGO NGOY Edmond,,T A,,,,,male
,KABOYI BVVIVU Jean Bosco,,AFDC ET ALLIES,,,,,male
,KABUYA MULAMBA KABITANGA Martin,Q1629663,UDPS/FAC,,,,,male
,KABWIK FAT MAYANG Elyse,,EDD,,,,,female
,KABWIKA MASTAKI KULIVA Prosper,,AFDC ET ALLIES,,,,,male
,KAHINDO NZANZU BONANE,Q3326837,MSR ET ALLIES,,,,,male
,KAKULE SHAHETERA Hubert,,EDD,,,,,male
,KAKVVATA NGUZA Patrick Thierry Andr,Q327591,NON INSCRITS,,,,,male
,KALAU NGUNGU God,,UNITE,,,,,male
,KALOMBO BUKOLA BUABU NKASHAMA Freddy,,unknown,,,,,
,KALOMBO TAMBWA Franis,Q1235589,PPRD,,,,,male
,KALOMBO TSHINKENKE Rombault,,R E E,,,,,male
,KALONJI MUKENDI Romain,Q1629663,UDPS/FAC,,,,,male
,KALUNGA MAWAZO G Bienvenu,,EDD,,,,,male
,KAMAYI MUANGALA Ignace,Q1235589,PPRD,,,,,male
,KAMBALE KAHALIRWA Orner,,ARD,,,,,male
,KAMBALE KALIMUMBALO Dieudonn,,UNC ET ALLIES,,,,,male
,KAMBALE LUFUNGULA Robert,Q1235589,PPRD,,,,,male
,KAMBALE MUSEMO Daniel,,ARD,,,,,male
,KAMBINGA KATOMBA Germain,Q144806,MLC ET ALLIES,,,,,male
,KAMITATU ETSU Olivier,,GPR,,,,,male
,KAMUKUNY MUKINAY Ambroise,,R E E,,,,,male
,KANGIJLUMBA MBAMB1 Vincent,Q3087061,PALU ET ALLIES,,,,,male
,KANKONDE KANKONDE Crispin,,UNITE,,,,,male
,KANKU BUKASA WA TSHIBUABIJA Clment,Q144806,MLC ET ALLIES,,,,,male
,KANTANTI MWITWA Philipe,Q1235589,PPRD,,,,,male
,KAONDE KiPANTA John America,,UNITE,,,,,male
,KAPAYA. OHELO PENE LOMBENDJA Deiphin,Q3087061,PALU ET ALLIES,,,,,male
,"KAPONGO 1,.,1UN YElK.A Doraben",Q1629663,UDPS/FAC,,,,,male
,KASENDE KANDOLO Fi-anois,Q3087061,PALU ET ALLIES,,,,,male
,KASEREKA WANZAVALERE Timothe,,EDD,,,,,male
,KASHIKI MAZAMBO Gaudel,Q3087061,PALU ET ALLIES,,,,,male
,KASONGO KIBALE KAS,,ARD,,,,,male
,KASONGO MUNGANGA Constantin,Q1629663,UDPS/FAC,,,,,male
,KASONGO MWADIAV1TA Lucain,,UNITE,,,,,male
,KASONGO NGOIE Geratine,,UNITE,,,,,female
,KASSAPO METELA LHOMB Hubert,Q1235589,PPRD,,,,,male
,KASUNKA WA BANZA Matthieu,,R E E,,,,,male
,KASWENDE BATUANINI Louis,,T A,,,,,male
,KATALAY M'BURU BALO Jacques,Q144806,MLC ET ALLIES,,,,,male
,KATAMUL1K0 TSONGO MAHA Richard,,GPLDS,,,,,male
,KATEMBO MUZEE BUDGET,,AFDC ET ALLIES,,,,,male
Q20982169,KATOLO KABONGO Eric,,UNC ET ALLIES,,,,,male
,KATSHONGO MBAVU Paulin,Q1235589,PPRD,,,,,male
,KATUMWA MUKALAY Vick,,T A,,,,,female
,KAYINDA MAHINDA Princesse Adele,Q1235589,PPRD,,,,,female
,KAYOMBO MB1NDA Jackson,,ARD,,,,,male
,KAZADI MUAYILA Thodore,,EDD,,,,,male
,KAZEMBE MUSONDA Jean-Claude,,UNITE,,,,,male
,KENDA Jolie Jolie,Q3326837,MSR ET ALLIES,,,,,female
,KEZAMUDRU MUSISIRI Jean-Pierre,Q3326837,MSR ET ALLIES,,,,,male
,KIAKWAMA KIA KIZIKI Gilbert,,GPLDS,,,,,male
,KIBAWA WIMWENE Edouard,,ARD,,,,,male
,KIKOKA TONI GAYTONI Honor,Q3326837,MSR ET ALLIES,,,,,male
,KILAMBE LWANDO Augustine,,R E E,,,,,female
,KIMBUNDA MUDIKELA Jean,Q1235589,PPRD,,,,,male
Q20982168,KIOVE KOLA Edouard,,UNC ET ALLIES,,,,,male
,KIPELE AKY AZWA Lucie,,GPR,,,,,female
,KIRO TSONGO Gregoire,,GPLDS,,,,,male
,KITENGE MULONGOY Joseph,,EDD,,,,,male
,KITWA GODALENA Ida,,ARD,,,,,female
,KOBiLl NGUNDU Grard,,UNITE,,,,,male
,KOKONYANGI WITANENE Joseph,,AFDC ET ALLIES,,,,,male
,KOLELA YAHANU John,Q1629663,UDPS/FAC,,,,,male
,KOLOBA DENGE Robert,,GPLDS,,,,,male
,KOLOSO SUMAILI MATEMBELA,,GPLDS,,,,,male
,KOMBO NKISI Timothe,Q1629663,UDPS/FAC,,,,,male
,KOMUESA. KALUNGA Adolphe,,EDD,,,,,male
,KONDE VILA-KI-KANDA Dsire Bonaventure,,GPR,,,,,male
,KOSO DIESE KOVI,Q1235589,PPRD,,,,,male
,KOTA PIEM Stephane,Q1629663,UDPS/FAC,,,,,male
,KUMASAMBA OLOM Jean Baptiste,Q3326837,MSR ET ALLIES,,,,,male
,KUTEKALA KAAVVA Albert,Q1235589,PPRD,,,,,male
,KiPULU KABENGA Antoinelte,,R E E,,,,,female
,LAPIKA DIMOMFU Bruno,,GPR,,,,,male
,LEBE MUPIYA Florent,,GPR,,,,,male
,LEMBI LIBULA Joseph,Q144806,MLC ET ALLIES,,,,,male
,LENGA WA LENGA PENZE Alexis,Q144806,MLC ET ALLIES,,,,,male
,LIKINDA BOLO'ELENGE Fidle,Q1235589,PPRD,,,,,male
,LIYOTA NDJOLI Bienvenu,,GPR,,,,,male
,LLIPULA MATSHALO Flix,Q1235589,PPRD,,,,,male
,LOBO KASONGO KLM Symphonen,,UNC ET ALLIES,,,,,male
,LOFIMBO BAKUNDJI ATHIGO,Q3326837,MSR ET ALLIES,,,,,male
,LOKOLA ELEMBA EKAHANDJALA Michel,Q3087061,PALU ET ALLIES,,,,,male
Q43106474,LOKONDO YOKA Henri Thomas,Q327591,NON INSCRITS,,,,,male
,LOMANGA LONGENGA Jean-Robert,Q144806,MLC ET ALLIES,,,,,male
,LOMBOTO LOMBONGE L'OKELI Cyprien,Q1235589,PPRD,,,,,male
,LOMEYA ATILITE Batrice,,EDD,,,,,female
,LOTANA LOKASOLA Albert,,GPR,,,,,male
,LOTHAPE MADIMBO Nelson,Q1235589,PPRD,,,,,male
,LOWUYA ENZIMBA Jules,Q1235589,PPRD,,,,,male
,LUBALA NTEBUA DEPE Deogratias,,AFDC ET ALLIES,,,,,male
,LUBAMBA NGIMBI Cesar,Q3326837,MSR ET ALLIES,,,,,male
,LUBAMBA VVA LUBAMBA Alain,,R E E,,,,,male
Q20982172,LUBAYA CLAUDEL Andr,,UNC ET ALLIES,,,,,male
,LUBOTO NGWANGU Flonbert,Q3087061,PALU ET ALLIES,,,,,male
,LUFULUABO TSHITUMBI Guy,,unknown,,,,,
,LUHONGE KABINDA NGOY Floriberl,,UNITE,,,,,male
,LUKIANA MA8ONDO Felicien,,UNITE,,,,,male
,LUKIANA-MUFWANKOLO DIALUKUPA Marie-Ange,,R E E,,,,,female
,LUKONO SOWA Dominique,,GPLDS,,,,,male
,LUMANU MULENDA BVVANAN`SEFU Adolphe,Q1235589,PPRD,,,,,male
,LUMEYA DHU MALEGHI,,GPLDS,,,,,male
,LUNDA NDALAMBA LUNDA,,R E E,,,,,male
Q20982173,LUNENO MAENE Jason,,UNC ET ALLIES,,,,,male
,LUNGUANA MATUMONA Jacques,Q144806,MLC ET ALLIES,,,,,male
,LUONO K1MBANGA Saturnin-Blaise,,GPR,,,,,male
,LUSANGA NGIELE Franois,,T A,,,,,male
,LUSENGE KAKULE Gregoire,,GPLDS,,,,,male
,LUSENGE KAMBALE BONANE .Jrme,,UNC ET ALLIES,,,,,male
,LUTHELO NYUDI Muller Oscar,Q1235589,PPRD,,,,,male
,LUTONGO MUYEYE TSHIKAMBI Venano,Q3326837,MSR ET ALLIES,,,,,male
Q5111780,LUTUNDULA APALA Christophe,,ARD,,,,,male
,M1GANDA MUSHUBANGABO Dieudonn,Q1235589,PPRD,,,,,male
,MABUNDA LIOKO Jeannine,Q1235589,PPRD,,,,,female
,MADIYA NTUMBA Astrid,Q1629663,UDPS/FAC,,,,,female
,MAELEZO ALABU Boris .,,AFDC ET ALLIES,,,,,male
,MAJAGIRA BULANGALIRE Espoir,Q3087061,PALU ET ALLIES,,,,,male
,MAKIASHI MAKIASHI Willy,Q3087061,PALU ET ALLIES,,,,,male
,MAKILA SUMANDA Jos,,GPLDS,,,,,male
,MAKUBA LUTONDO Richard,Q3326837,MSR ET ALLIES,,,,,male
,MAKUTU MA NGAYAYA Adalbert,Q1629663,UDPS/FAC,,,,,male
,MAKVVALA MAVAMBIJ YE BEDA Jerome,Q1629663,UDPS/FAC,,,,,male
,MAKWA DEDE Prosper,,GPR,,,,,male
,MAKWENGE KAPUT Victor,Q1235589,PPRD,,,,,male
,MALUKA MOPONGO MWAMBANO BEDE Prospre,,GPLDS,,,,,male
,MALUMBA MBANGULA Jean-Marc,Q327591,NON INSCRITS,,,,,male
,MAMBO MAWA Lebon,,R E E,,,,,male
,MANANGA KAYEMBE CADET YA MUKOLO,Q1629663,UDPS/FAC,,,,,male
,MANARA LINGA Didi,Q1235589,PPRD,,,,,male
,MANDJUANDJUA MAYEMBE LA Jeunesse,,UNITE,,,,,male
,MANONGI AMBOKA Antoinne,,ARD,,,,,male
,MANSHIMBA MANSHIMBA Pascal,Q3087061,PALU ET ALLIES,,,,,male
,MANTEZOLO DIATEZUA Papy,Q1629663,UDPS/FAC,,,,,male
,MASAMBA MA-KIESE Remy,Q1629663,UDPS/FAC,,,,,male
,MASANZA MAKOGU EKONDANIDE Godefroid,,R E E,,,,,male
,MASELA KILUTY Zury,,R E E,,,,,male
,MASHAKO MAMBA NYENYA Lonard,,EDD,,,,,male
,MASHUKANE BAZIRUWIHA Hubert,Q3326837,MSR ET ALLIES,,,,,male
,MASIKINI MBILI Lilie,,GPLDS,,,,,female
,MASSAMBA MALIKA Job Antoine,,AFDC ET ALLIES,,,,,male
,MASSANGU BIBI MULOKO Mireille,,ARD,,,,,female
,MASUASUA BAKATUSHIPA Corneille,Q1629663,UDPS/FAC,,,,,male
,MASUKA SAIN! Fifi,,EDD,,,,,female
,MASUMBU BAYA Andr,Q1629663,UDPS/FAC,,,,,male
,MATA NKUMU BOWANGO Pauline,,ARD,,,,,female
,MATADI NENGA GAMANDA,,GPLDS,,,,,male
,MATADI VVAtt.IBA KAMBA MUTU Tharcisse,Q3326837,MSR ET ALLIES,,,,,male
,MATENDA KYELU Athanase,,ARD,,,,,male
,MATERANYA KARAGI Romo,,AFDC ET ALLIES,,,,,male
,MATUSILA MALUNGENI NE KONGO Pierre Anatole,,GPLDS,,,,,male
,MAVINGA DOMI Daniel,Q3326837,MSR ET ALLIES,,,,,male
,MAVUNGU MBUNGA Andr,,AFDC ET ALLIES,,,,,male
,MAYAMBA MASSAKA Serge,Q1629663,UDPS/FAC,,,,,male
,MAYAYA KILOLE KAKWAMA Richard,,AFDC ET ALLIES,,,,,male
Q20982179,MAYO MAMBEKE Jean-Baudouin,,UNC ET ALLIES,,,,,male
,MAYOBO MPVVENE NGATIEN Godefroid,Q3087061,PALU ET ALLIES,,,,,male
,MAYOMBE MUMBYOKO Patrick,,GPLDS,,,,,male
,MAYUMA KASENDE Louise,Q1235589,PPRD,,,,,female
,MBAMBI PHOBA Adrien,Q1629663,UDPS/FAC,,,,,male
,MBAMBU MUGHOLE Juliette,Q3326837,MSR ET ALLIES,,,,,female
,MBANGAMA KABUNDI Augustin,,GPR,,,,,male
,MBATSHI BATSHIA Simon Floribert,Q1235589,PPRD,,,,,male
,MBAW MBAW YEMATA Jean-Marie,,unknown,,,,,
,MBAYA KANDUDI Jean,Q3087061,PALU ET ALLIES,,,,,male
,MBAYO KILUMBA Eugnie,,EDD,,,,,female
,MBAYO LUFUNGA PELESA,,T A,,,,,male
,MBEtv1BA FUNDU DI LUYINDU Thophile,Q1235589,PPRD,,,,,male
,MBIKAYI MABULUKI Steve,,UNC ET ALLIES,,,,,male
,MBILAMBANGU LUNGAMBO Anne Marie,Q1235589,PPRD,,,,,female
Q20982180,MBINDULE MITONO Crispin,,UNC ET ALLIES,,,,,male
,MBINGHO N'VULA Hubert,,R E E,,,,,male
,MBITSO NGEDZA Joas,,R E E,,,,,male
,MBOSO MUTEBA Vicky,Q3087061,PALU ET ALLIES,,,,,male
,MBUELA YIMBU Emmanuel,Q1629663,UDPS/FAC,,,,,male
,MBUKANI KATEBWA Dieudo'nn,,ARD,,,,,male
,MBUKU BALELE Pp,,GPLDS,,,,,male
,MBUKU LAKA Boris,,GPR,,,,,male
,MBULU MIKOBI Isabelle,Q1235589,PPRD,,,,,female
,MBUNGU MBUNGU Nron,,GPR,,,,,male
,MBUYI MAMBA KALALA Vasco,Q1629663,UDPS/FAC,,,,,male
,MBUYI NGOYI Odette,Q1235589,PPRD,,,,,female
,MBUYU KABANGO MUKOLWE Clestin,,UNITE,,,,,male
,MENANTANGU MULALU Victor,,AFDC ET ALLIES,,,,,male
,MIJABI TUMBA KIMALANZI Marie,Q1235589,PPRD,,,,,female
,MIKULU POMBO Guy,,GPR,,,,,male
,MILEMBA BUKASA Anglique,Q144806,MLC ET ALLIES,,,,,female
,MINAKU NDJALANDJOKO Aubin,Q1235589,PPRD,,,,,male
Q20982181,MIRINDI CARH.ANGABO Grgoire,,UNC ET ALLIES,,,,,male
,MLJAMBA MULUMBA Benjamin,Q327591,NON INSCRITS,,,,,male
,MOBANDO YOGO Yves,Q3326837,MSR ET ALLIES,,,,,male
,MOBUTU GIALA KASA Albert Philippe,Q144806,MLC ET ALLIES,,,,,male
,MOKAKO NZEKE Jacques,Q1235589,PPRD,,,,,male
,MOLEKA NSOLA Wivine,Q1235589,PPRD,,,,,female
,MOLEKO MOLIWA Anastasie,Q1235589,PPRD,,,,,female
,MOLISHO SADI Didier,Q3326837,MSR ET ALLIES,,,,,male
,MOMBUNZA LIBOTOLO Annie,Q144806,MLC ET ALLIES,,,,,female
,MONDOLE ESO LIBANZA Lon,,GPLDS,,,,,male
,MOPONDI MALOKA MONGAI John,,UNITE,,,,,male
,MOTA NGALIEMA Lonard,,UNITE,,,,,male
,MOTA NOONGO KHANG Emile Christophe,,ARD,,,,,male
Q20982184,MPANANO NTAMWENGE Roger,,UNC ET ALLIES,,,,,male
,MPANDA KABANGU Jos,,GPR,,,,,male
,MPANDE MWABA bilame,,UNITE,,,,,female
,MUABILU MBAYU MUKALA Plus,,T A,,,,,male
,MUBIKAYI MUBALAMATE Lon,Q1629663,UDPS/FAC,,,,,male
,MUDERHWA NABINTU Batrice,,GPLDS,,,,,female
,MUGIRANEZA NDIZEYE Jules,,AFDC ET ALLIES,,,,,male
,MUHINDO MULEMBERI,,GPLDS,,,,,male
,MUHINDO NZANGI BUTONDO,Q3326837,MSR ET ALLIES,,,,,male
,MUHIYA LUMBIJ Eustache,,UNITE,,,,,male
,MUJINGA KAYENU Alphonsine,,UNITE,,,,,female
,MUKASA KALEMBWE Calixte,Q1235589,PPRD,,,,,male
,MUKEBA KANDE Bruno,Q1629663,UDPS/FAC,,,,,male
,MUKINGI NAHIMANA OSWALD,Q3326837,MSR ET ALLIES,,,,,male
,MUKUBAGANYI MULUME Jean Pierre,Q1235589,PPRD,,,,,male
,MUKULUNGU IGOBO Benjamin,,UNITE,,,,,male
,MUKUNA KALAMBAYI Dams,Q1629663,UDPS/FAC,,,,,male
,MULATU PUATI Jean Marie,,GPR,,,,,male
,MULENGI NZALALEMBA Jean Rornbaull,,GPLDS,,,,,male
,MULIMBALIMBA MASURURU Luc,,AFDC ET ALLIES,,,,,male
,MULONGO NGOY Ivan,,UNITE,,,,,male
,MULONGO NZEMBA Coco Jacques,Q1629663,UDPS/FAC,,,,,male
,MULUMBA MUABI Florent,Q3326837,MSR ET ALLIES,,,,,male
,MULUMBA MWANA NSHIYA,Q1235589,PPRD,,,,,male
,MUMPI NGA-EWUM Urbain Marie,Q3087061,PALU ET ALLIES,,,,,male
,MUMPINI KABONG'ANZA Benjamin,,GPR,,,,,male
,MUNEMBWE TAMUKUMWE Elyse,,GPR,,,,,female
Q17631305,MUNUBO MUB1 Juvenal,,UNC ET ALLIES,,,,,male
,MUSAFIRI SHUKURU Esperence,Q327591,NON INSCRITS,,,,,female
,MUSAGA PHASU Madeleine,Q3326837,MSR ET ALLIES,,,,,female
,MUSEMENA BONGALA Gaston,Q1235589,PPRD,,,,,male
,MUSENGA WA MUKUNA Benot,Q1629663,UDPS/FAC,,,,,male
,MUSHITU KAT Bijou,,ARD,,,,,female
Q20982185,MUSHIZI NFUNDIKO KIZITO,,UNC ET ALLIES,,,,,male
,MUSODI SALABWE Dieudonrte,,AFDC ET ALLIES,,,,,male
,MUTANDA NGOY MUANA Alexis,Q1629663,UDPS/FAC,,,,,male
,MUTIRI WA BASHARA Elvis,Q327591,NON INSCRITS,,,,,male
,MUTOKAMBALI LUVANZAYI Jean-Luc,,AFDC ET ALLIES,,,,,male
,MUTOMB A MUTOM Lucien Joliety,,T A,,,,,male
,MUTOMB KAN KATO Fabien,Q1629663,UDPS/FAC,,,,,male
,MUTOMBO WA NGOY Yvonne,Q1235589,PPRD,,,,,female
,MUTONKOLE KINYANGA Gaspard,,R E E,,,,,male
,MUTUALE Olivier Randi,,AFDC ET ALLIES,,,,,male
,MUTULA LUNGWE DIALLO,Q3326837,MSR ET ALLIES,,,,,male
,MUYAMBA NGOVE John,,UNITE,,,,,male
,MUYAYA KATEMBWE Patrick,Q3087061,PALU ET ALLIES,,,,,male
,MUYAYA TSHIBONA Constatin,Q1629663,UDPS/FAC,,,,,male
,MUZANGISA MUTALEMU Laurent,,UNITE,,,,,male
,MUZAZA OWAN Thierry,Q3087061,PALU ET ALLIES,,,,,male
,MUZINGA MUSHINJI Jean,,R E E,,,,,male
,MUZITO FUMUTSHI Adolphe,Q3087061,PALU ET ALLIES,,,,,male
,MUZYUMBA MWANAHEMBE Pierre,,ARD,,,,,male
,MVEMBA MATONA,,UNITE,,,,,male
,MVVANGACHUCHU HIZ1 Edouard,Q327591,NON INSCRITS,,,,,male
,MVVATSHINUMO FEDGE Georges,,GPR,,,,,male
,MWAKA BWENGE Arsne,,GPLDS,,,,,male
,MWALEY AMANDEV Charles,,GPR,,,,,male
,MWAMBA MULANGU Benjamin,Q1629663,UDPS/FAC,,,,,male
,MWAMBA NKUBA Dieudonn,Q1235589,PPRD,,,,,male
