minister,country,startdate,enddate,position
Bernard Biando Sango,DRC,2010-02-19,2011-03-11,"Trade, Small and Medium Enterprises"
Bernard Biando Sango,DRC,2017-05-09,2019-01-23,Solidarity and Humanitarian Action
Bernard-Gustave Kabeji Penemagu,DRC,2003-07-30,2004-07-11,Civil Service
Bienvenu Liyota Ndjoli,DRC,2014-12-09,2015-09-25,Environment and Sustainable Development
Bienvenu Liyota Ndjoli,DRC,2017-05-09,2019-01-23,Small and Medium Enterprises
Bijou Mushitu Kat,DRC,2014-12-09,2015-01-29,"Gender, Family, and Children"
Bijou Mushitu Kat,DRC,2015-01-29,2015-09-25,"Gender, Family and Children, Social Affairs, Humanitarian Action and National Solidarity"
Bohongo Nkoyi,DRC,2014-12-09,2016-12-19,Small and Medium Enterprises
Bolengetenge Balela,DRC,2014-12-09,2015-09-25,Lands
Bruno Kapanji Kalala,DRC,2012-04-28,2014-12-09,Water Resources and Electricity
Bruno Tshibala Nzenze,DRC,2017-04-07,2019-01-23,Prime Minister
Catherine Nzuzi wa Mbombo,DRC,2003-07-30,2007-02-05,Solidarity and Humanitarian Affairs
Celestin Luangi,DRC,2000-09-02,2001-01-16,Civil Service
Celestin Mvunabali,DRC,2003-07-30,2004-07-11,Economy
Celestin Mvunabali,DRC,2004-07-11,2006-10-16,Parastatals
Celestin Tunda ya Kasende,DRC,2019-08-26,2019-12-31,Vice-Prime Minister and Minister of Justice
Cesar Lubamba Ngimbi,DRC,2010-02-19,2012-04-28,Urban Development and Housing
Chantal Ngalula Mulumba,DRC,2005-01-03,2007-02-05,Foreign Trade
Chantal Safu,DRC,2017-05-09,2019-01-23,"Gender, Family, and Children"
Charles Alulea Mengulwa,DRC,2011-09-11,2012-04-28,Rural Development
Charles Christphe Muzungu,DRC,2004-07-11,2005-11-18,Culture and Arts
Charles Mwando Nsimba,DRC,2007-02-05,2007-11-26,Rural Development
Charles Mwando Nsimba,DRC,2007-11-26,2008-10-26,Transport
Charles Mwando Nsimba,DRC,2008-10-26,2012-04-28,Defence and Veterans
Charles Nawej Mundele,DRC,2012-04-28,2014-12-09,"Social Affairs, Humanitarian Affairs, and National Solidarity"
Charlotte Twamba,DRC,2006-10-16,2007-02-05,Civil Service
Chelo Lotsima,DRC,2012-04-28,2014-12-09,"Higher Education, University, and Scientific Research"
Chikez Diemu,DRC,2007-02-05,2008-10-26,Defence and Veterans
Claude Nyamugabo Bazibuhe,DRC,2008-10-26,2010-02-19,Small and Medium Enterprises
Claude Nyamugabo Bazibuhe,DRC,2010-02-19,2012-04-28,Youth and Sports
Claude Nyamugabo Bazibuhe,DRC,2019-08-26,2019-12-31,Environment and Sustainable Development
Clement Kuete Nymi Bemuna,DRC,2019-08-26,2019-12-31,Parastatals
Clément Kanku Bukasa,DRC,2016-12-19,2017-05-09,Cooperation and Development
Constant Ndom Nda Ombel,DRC,2004-01-22,2005-11-18,Primary and Secondary Education and Professional Training
Constant Ndom Nda Ombel,DRC,2005-11-18,2006-10-16,Agriculture
Crispin Atama Tabe,DRC,2012-04-28,2015-09-25,Hydrocarbons
Crispin Atama Tabe,DRC,2015-09-25,2019-01-23,Defence and Veterans
Célestin Mbuyu Kabango,DRC,2008-10-26,2010-02-19,Interior and Security
Célestin Mbuyu Kabango,DRC,2010-02-19,2012-04-28,Hydrocarbons
Célestin Vunabandi Kanyamihigo,DRC,2012-04-28,2014-12-09,Planning and Implementation of the Modernisation Revolution
Dakahu Dino Wakale Minida,DRC,2001-04-14,2003-07-30,Transport
Daniel Madimba Kalonji,DRC,2014-12-09,2016-12-19,Scientific Research and Technology
Daniel Mukoko Samba,DRC,2012-04-28,2014-12-09,Vice-Prime Minister and Minister of Budget
David Jolino Makelele,DRC,2019-08-26,2019-12-31,Communications and Media
Denis Kalume Numbi,DRC,1999-03-14,2000-09-02,Reconstruction
Denis Kalume Numbi,DRC,2000-09-02,2001-01-16,Planning and Reconstruction
Denis Kalume Numbi,DRC,2001-04-14,2002-11-17,Planning and Reconstruction
Denis Kalume Numbi,DRC,2006-10-10,2008-10-26,"Interior, Decentralization and Security"
Denis Kambayi Tshimbumbu,DRC,2015-09-25,2016-12-19,Youth and Sports
Denis Mbuyu Manga,DRC,2007-05-28,2007-11-26,
Deogratias Nkusu Kunzi Bikawa,DRC,2019-08-26,2019-12-31,Relations with the Parliament
Didace Pembe Bokiaga,DRC,2007-02-05,2007-11-26,Environment
Didier Mazengu Mukanzu,DRC,2019-08-26,2019-12-31,Transport
Didier Mumengi,DRC,1999-03-14,2000-09-02,Information and Tourism
Didier Mumengi,DRC,2000-09-02,2001-01-16,Youth and Sports
Dieudonne´ Upira Sunguma Kagimbi,DRC,2010-02-19,2012-04-28,Civil Service
Dominique Sakombi Inongo,DRC,2000-09-02,2001-01-16,Information
Edouard Kabukapwa Bitanga,DRC,2007-11-26,2008-10-26,Lands
Elias Kakule Mbahingana,DRC,2007-02-05,2007-11-26,Tourism
Elias Mulungula,DRC,2006-10-16,2007-02-05,Environment
Elvis Mutiri wa Bashala,DRC,2014-12-09,2016-12-19,Tourism
Elysee Munembwe Tamukumwe,DRC,2003-07-30,2004-01-22,Primary Education
Elysee Munembwe Tamukumwe,DRC,2019-08-26,2019-12-31,Vice-Prime Minister and Minister of Planning
Emery Okundji,DRC,2017-05-09,2019-01-23,"Posts, Telecommunications and New Information and Communication Technologies"
Emile Bongeli Yekolo,DRC,2005-01-03,2006-10-10,Health
Emile Bongeli Yekolo,DRC,2007-11-26,2008-10-26,Communications and Media
Emile Bongeli Yekolo,DRC,2008-10-26,2010-02-19,Vice-Prime Minister
Emile Mota Ndongo Kang,DRC,2015-09-25,2016-12-19,"Agriculture, Fishing and Livestock"
Emile Ngoy Kasongo,DRC,2003-07-30,2004-07-11,Higher Education
Emile Ngoy Kasongo,DRC,2004-07-11,2005-01-03,Economy
Emmanuel Ilunga Ngoy Kasongo,DRC,2017-05-09,2019-01-23,Congolese Abroad
Emmanuel Ramazani Shadary,DRC,2016-12-19,2018-02-21,Vice-Prime Minister and Minister of Interior and Security
Enselme Emerunga,DRC,2003-07-30,2006-10-16,Environment
Eraston Kambale Tsongo,DRC,2019-08-26,2019-12-31,Youth and Citizenship
Esdras Kambale Baekwa,DRC,2007-11-26,2010-02-19,Culture and Arts
Eteni Longondo,DRC,2019-08-26,2019-12-31,Health
Etienne Kikanga Shima Musebo,DRC,1999-03-14,2000-11-20,Agriculture and Animal Husbandry
Etienne Kikanga Shima Musebo,DRC,2000-11-20,2001-01-16,Agriculture
Eugene Diomi Dongala,DRC,2003-07-30,2005-01-03,Mines
Eugène Lokwa Ilwaloma,DRC,2007-02-05,2007-11-26,Human Rights
Eugène Serufuli Ngayabaseka,DRC,2014-12-09,2016-12-19,Rural Development
Eugène Serufuli Ngayabaseka,DRC,2016-12-19,2017-05-09,Small and Medium Enterprises
Eugène Serufuli Ngayabaseka,DRC,2017-05-09,2019-01-23,Social Affairs
Eustache Muhanzi Mubembe,DRC,2019-08-26,2019-12-31,Water Resources and Electricity
Evariste Heva Muakasa,DRC,2005-01-03,2007-02-05,Transport and Communications
Evariste Heva Muakasa,DRC,2017-05-09,2019-01-23,Scientific Research
Faida Mwangila,DRC,2003-07-30,2007-02-05,Family and Women Affairs
Ferdinand Kambere Kalumbi,DRC,2008-10-26,2010-02-19,Labour and Social Security
Ferdinand Kambere Kalumbi,DRC,2010-02-19,2012-04-28,"Social Affairs, Humanitarian Affairs, and National Solidarity"
Ferdinand Mawapanga Mwanda Nanga,DRC,1999-03-14,2000-11-20,Finance
Ferdinand Mawapanga Mwanda Nanga,DRC,2000-11-20,2001-01-16,Fishing and Animal Husbandry
Fidèle Ntingu Bayi,DRC,2016-12-19,2017-05-09,Minister without Portfolio
Floribert Bokanga,DRC,2005-01-03,2005-11-18,Economy
Franck Mwe di Malila,DRC,2017-05-09,2019-01-23,Tourism
Francois Muamba Tshishimbi,DRC,2003-07-30,2006-10-16,Budget
François-Joseph Mobutu Nzanga Ngbangawe,DRC,2007-02-05,2007-11-26,Agriculture
François-Joseph Mobutu Nzanga Ngbangawe,DRC,2007-11-26,2008-10-26,Agriculture and Rural Development
François-Joseph Mobutu Nzanga Ngbangawe,DRC,2008-10-26,2010-02-19,Vice-Prime Minister
François-Joseph Mobutu Nzanga Ngbangawe,DRC,2010-02-19,2011-03-11,Vice-Prime Minister and Minister of Labour and Social Security
Fridolin Kasweshi Musoka,DRC,2010-02-19,2012-04-28,"Infrastructure, Public Works, and Reconstruction"
Fridolin Kasweshi Musoka,DRC,2012-04-28,2014-12-09,"Spatial Planning, Town Planning, Housing, Infrastructures, Public Works and Reconstruction"
Fridolin Kasweshi Musoka,DRC,2014-12-09,2016-12-19,Infrastructures and Public Works
Frédéric Kibassa Maliba,DRC,1998-01-03,2000-06-22,Mines
Félix Kabange Numbi Mukwampa,DRC,2012-04-28,2016-12-19,Health
Félix Kabange Numbi Mukwampa,DRC,2016-12-19,2017-05-09,Lands
Félix Kabange Numbi Mukwampa,DRC,2017-05-09,2019-01-23,Regional Planning
Gaston Musemena,DRC,2016-12-19,2019-01-23,"Primary and Secondary Education, and Professional Education"
Generose Lushiku Muya,DRC,2008-10-26,2010-02-19,Urban Development and Housing
Geneviève Inagosi,DRC,2012-04-28,2014-12-09,"Gender, Family, and Children"
George Buse Talai,DRC,2001-04-14,2003-07-30,Energy
Georges Kazadi Kabongo,DRC,2017-05-09,2019-01-23,Agriculture
Georges Minsay Booka,DRC,2007-02-05,2007-11-26,Justice
Georges Wembi Loambo,DRC,2015-09-25,2016-12-19,Planning and Implementation of the Modernisation Revolution
Gerard Kamanda wa Kamanda,DRC,2003-07-30,2007-02-05,Scientific Research
Germain Kambinga,DRC,2014-12-09,2016-12-19,Industry
Gertrude Kitembo,DRC,2003-07-30,2007-02-05,Posts and Telecommunications
Gilbert Kankonde Malamba,DRC,2019-08-26,2019-12-31,"Vice-Prime Minister and Minister of Interior, Security, and Customary Affairs"
Gilbert Tshiongo Tshibinkubula wa Tumba,DRC,2010-02-19,2012-04-28,Energy
Godefroid Mayobo Mpwene Ngantien,DRC,2007-02-05,2008-10-26,Minister without Portfolio
Gregoire Bakandeja,DRC,2000-09-02,2001-01-16,"Economy, Commerce and Industry"
Gustave Boloko Nkeli,DRC,2015-09-25,2016-12-19,Lands
Guy Mikulu Pombo,DRC,2016-12-19,2017-05-09,"Vocational training, Trades and Crafts"
Guy Mikulu Pombo,DRC,2017-05-09,2019-01-23,Customary Affairs
Guy Mikulu Pombo,DRC,2019-08-26,2019-12-31,Rural Development
Gäestan Kakudji,DRC,1998-01-03,2001-01-16,Interior
Gérard Tumba,DRC,2006-10-16,2007-02-05,Planning
Helen Mateibo,DRC,2001-04-14,2003-07-30,"Industry, Commerce and Small and Medium Enterprises"
Henri Mova Sakanyi,DRC,2000-09-02,2000-11-20,Transport and Communications
Henri Mova Sakanyi,DRC,2000-11-20,2001-01-16,Environment and Tourism Development
Henri Mova Sakanyi,DRC,2004-07-11,2007-02-05,Information and Press
Henri Mova Sakanyi,DRC,2018-02-21,2019-01-23,Vice-Prime Minister and Minister of Interior and Security
Henri Yav Mulang,DRC,2014-12-09,2019-01-23,Finance
Hubert Efole Wa Mbomba,DRC,2006-03-24,2006-10-16,Economy
Hubert Efole Wa Mbomba,DRC,2006-10-16,2007-02-05,Labour and Social Security
Ignace Gata Mavinga,DRC,2007-02-05,2007-11-26,Regional Integration
Ingele Ifoto,DRC,2003-07-30,2005-01-03,Social Affairs
Ingele Ifoto,DRC,2005-01-03,2006-10-16,Mines
Ingele Ifoto,DRC,2017-05-09,2019-01-23,Energy and Water Resources
Irung Awan,DRC,2001-04-14,2003-07-30,Defence
Isidore Kabwe Mwehu,DRC,2014-12-09,2015-09-25,"Agriculture, Fishing and Livestock"
Isumbisho Mwapu,DRC,2015-09-25,2016-12-19,Civil Service
Jacques Lungwana,DRC,2005-11-18,2006-10-16,Youth and Sports
Jaqueline Penge Sanganyoi,DRC,2019-08-26,2019-12-31,Minister without Portfolio
Jean Amisi Kalondaya,DRC,2000-11-20,2001-01-16,Finance
Jean Chrisostome Vahamwiti Mukesyayira,DRC,2012-04-28,2014-12-09,Agriculture and Rural Development
Jean François Ekofo Panzoko,DRC,2007-02-05,2007-11-26,Small and Medium Enterprises
Jean Joseph Kasonga Mukuta,DRC,2019-08-26,2019-12-31,Agriculture
Jean Marie Lukundji Kikuni,DRC,2019-08-26,2019-12-31,Culture and Arts
Jean Mbuyu Lunyongola,DRC,2003-10-05,2005-11-18,Industry and Small and Medium Enterprises
Jean Nengbangba Tshibanga,DRC,2014-12-09,2016-12-19,Technical and Professional Education
Jean-Baptiste Ntahwa Kuderwa Batumike,DRC,2010-02-19,2012-04-28,Budget
Jean-Baudoin Mayo Mambeke,DRC,2019-08-26,2019-12-31,Vice-Prime Minister and Minister of Budget
Jean-Claude Kibala,DRC,2012-04-28,2015-09-25,Civil Service
Jean-Claude Molipe,DRC,2006-10-16,2007-02-05,Budget
Jean-Claude Muyambo Kyassa,DRC,2007-02-05,2007-11-26,Humanitarian Affairs
Jean-Claude Muyambo Kyassa,DRC,2007-11-26,2008-10-26,"Social Affairs, Humanitarian Affairs, and National Solidarity"
Jean-Lucien Bussa Tongba,DRC,2016-12-19,2017-05-09,Planning
Jean-Lucien Bussa Tongba,DRC,2017-05-09,2019-01-23,Foreign Trade
Jean-Lucien Bussa Tongba,DRC,2019-08-26,2019-12-31,Foreign Trade
Jean-Marie Bulambo Kilosho,DRC,2010-02-19,2011-09-11,Economy
Jean-Marie Bulambo Kilosho,DRC,2011-09-11,2012-04-28,Small and Medium Enterprises
Jean-Marie Bulambo Kilosho,DRC,2016-12-19,2017-05-09,Fishing and Livestock
Jean-Marie Ntantu Mey,DRC,2000-11-20,2001-01-16,Transport and Communications
Jean-Paul Nemoyato Begepole,DRC,2012-04-28,2014-12-09,Economy and Commerce
Jean-Pierre Bemba,DRC,2003-07-30,2007-02-05,Vice-President
Jean-Pierre Bokole Ompoka,DRC,2010-02-19,2012-04-28,Scientific Research
Jean-Pierre Daruwezi Mokombe,DRC,2011-09-11,2012-04-28,Economy
Jean-Pierre Lisanga Bonganga,DRC,2017-05-09,2019-01-23,Relations with the Parliament
Jean-Pierre Lola Kisanga,DRC,2004-07-11,2005-01-03,Labour and Social Security
Jean-Pierre Ondekane,DRC,2003-07-30,2005-01-03,"Defence, Demobilisation and Veterans"
Jeanne Ebamba Boboto,DRC,2000-09-02,2001-01-16,Social Affairs
Jeanne Ebamba Boboto,DRC,2001-04-14,2003-07-30,Social Affairs
Jeannette Kavira Mapera,DRC,2010-02-19,2012-04-28,Culture and Arts
Jeannine Mabunda Lioko Mudiayi,DRC,2007-02-05,2012-04-28,Parastatals
Jeannot Matadi Nenga Ngamanda,DRC,2014-12-09,2016-12-19,Energy and Water Resources
John Kwet Mwan Kwet,DRC,2017-05-09,2019-01-23,Cooperation and Development
John Ntumba Panumpakole,DRC,2019-08-26,2019-12-31,"Vocational Training, Arts, and Crafts"
John Tibasima,DRC,2003-07-30,2007-02-05,Urban Development
Jonathan Bialosuka Wata,DRC,2019-08-26,2019-12-31,Fishing and Livestock
Jose Endundu Bonongo,DRC,2003-07-30,2005-01-03,Public Works and Infrastructure
Jose Endundu Bonongo,DRC,2007-11-26,2008-10-26,Environment and Tourism
Jose Endundu Bonongo,DRC,2008-10-26,2010-02-19,Environment
Jose Endundu Bonongo,DRC,2010-02-19,2012-04-28,Environment and Tourism
Jose Engbanda,DRC,2004-01-22,2007-02-05,Tourism
Jose Mpanda Kabangu,DRC,2019-08-26,2019-12-31,Scientific Research and Technical Innovation
Jose Sele Yalaghuli,DRC,2019-08-26,2019-12-31,Finance
Joseph Kapika,DRC,2017-05-09,2019-01-23,Economy
Joseph Kokonyangi,DRC,2016-12-19,2019-01-23,Urban Planning and Housing
Joseph Martin Kitumba Gagedi Gasagisa Mwanza,DRC,2011-09-11,2012-04-28,Transport
Joseph Mudumbi,DRC,2003-07-30,2004-07-11,Parastatals
Joseph Mudumbi,DRC,2004-07-11,2005-01-03,Higher Education and University
Joseph Olenghankoy,DRC,2003-07-30,2005-01-03,Transport
Joseph Utitiyo Apata,DRC,2008-10-26,2010-02-19,Scientific Research
José Makila Sumanda,DRC,2005-02-17,2006-10-16,Public Works and Infrastructure
José Makila Sumanda,DRC,2016-12-19,2019-01-23,Vice-Prime Minister and Minister of Transport
Julien Paluku Kahongy,DRC,2019-08-26,2019-12-31,Industry
Julienne Lumumba,DRC,1998-06-01,2001-01-16,Culture and Arts
Justin Bitakwira,DRC,2016-12-19,2017-05-09,Relations with the Parliament
Justin Bitakwira,DRC,2017-05-09,2019-01-23,Human Rights
Justin Kalumba Mwana Ngongo,DRC,2011-09-11,2012-04-28,Trade
Justin Kalumba Mwana Ngongo,DRC,2012-04-28,2016-12-19,Transport
Justin Kalumba Mwana Ngongo,DRC,2019-08-26,2019-12-31,Small and Medium Enterprises
Justin Kangundu,DRC,2003-07-30,2004-01-22,Agriculture
Kakez Ekir Kaz'Azama,DRC,2000-11-20,2001-01-16,Human Rights
Kalema Lusona,DRC,2003-07-30,2005-01-03,Energy
Kamara wa Kahikara,DRC,1997-05-23,2000-11-20,Education
Kasongo Ilunga,DRC,2007-02-05,2007-05-28,Foreign Trade
Kikaya bin Karubi,DRC,2001-04-14,2003-07-30,Communications and Press
Kisimba Ngoy,DRC,2003-07-30,2006-10-16,Justice
Kisimba Ngoy,DRC,2008-10-26,2012-04-28,Lands
Kudianga Bayokisa,DRC,2014-12-09,2016-12-19,Commerce
Kutumisa Tshioka,DRC,2001-04-14,2003-07-30,Education
Kyamusoke Bamusulanga Nta-Bote,DRC,2007-02-05,2007-11-26,Posts and Telecommunications
Lambert Matuku,DRC,2016-12-19,2019-01-23,"Employment, Work and Social Security"
Lambert Mende Omalanga,DRC,2007-02-05,2008-10-26,Hydrocarbons
Lambert Mende Omalanga,DRC,2008-10-26,2012-04-28,Communications and Media
Lambert Mende Omalanga,DRC,2012-04-28,2014-12-09,"Media, in charge of Relations with Parliament and Initiation to the new citizenship"
Lambert Mende Omalanga,DRC,2014-12-09,2019-01-23,Communications and Media
Laure-Marie Kawanda Kayena,DRC,2010-02-19,2011-05-03,Transport
Laurent Muzangisa,DRC,2008-10-26,2010-02-19,Energy
Laurent-Simon Ikenge Lisambola,DRC,2007-02-05,2007-11-26,Urban Development and Housing
Laurent-Simon Ikenge Lisambola,DRC,2007-11-26,2008-10-26,Civil Service
Liliane Mpande Mwaba,DRC,2007-02-05,2007-11-26,Lands
Louis Alphonse Koyagialo Ngbasete Gerengbo,DRC,2011-09-11,2012-04-28,Vice-Prime Minister and Minister of Posts and Telecommunications
Louise Munga Mesozi,DRC,2007-11-26,2010-02-19,Posts and Telecommunications
Louise Munga Mesozi,DRC,2012-04-28,2016-12-19,Parastatals
Lucie Kipele Aki Azwa,DRC,2015-09-25,2016-12-19,"Gender, Family, and Children"
Lumeya Dhu-Maleghi,DRC,2017-05-09,2019-01-23,Lands
Luzolo Mbambi Ntesa,DRC,2008-10-26,2010-02-19,Justice
Luzolo Mbambi Ntesa,DRC,2010-02-19,2012-04-28,Justice and Human Rights
Lèonard She Okitundu,DRC,1998-06-01,2000-11-20,Human Rights
Lèonard She Okitundu,DRC,2000-11-20,2001-01-16,Foreign Affairs and International Cooperation
Lèonard She Okitundu,DRC,2001-04-14,2003-07-30,Foreign Affairs and International Cooperation
Lèonard She Okitundu,DRC,2016-12-19,2019-01-23,Vice-Prime Minister and Minister of Foreign Affairs and Regional Integration
Léonard Mashako Mamba,DRC,1999-03-14,2001-01-16,Health
Léonard Mashako Mamba,DRC,2001-04-14,2003-07-30,Health
Léonard Mashako Mamba,DRC,2008-10-26,2012-04-28,Higher Education and University
Léonard Masuga Rugamika,DRC,2007-11-26,2008-10-26,"Higher Education, University, and Scientific Research"
Maguy Kiala Bolenga,DRC,2016-12-19,2019-01-23,Youth and and Initiation to Citizenship
Maker Mwangu Famba,DRC,2007-02-05,2014-12-09,Primary and Secondary Education and Professional Training
Maker Mwangu Famba,DRC,2014-12-09,2016-12-19,Primary and Secondary Education and Initiation to Citizenship
Marcel Amos Mbayo Kitenge,DRC,2019-08-26,2019-12-31,Sports and Leisure
Marcel Ilunga Leu,DRC,2016-12-19,2019-01-23,Industry
Marcel Malenso Ndodila,DRC,2007-02-05,2007-11-26,Culture and Arts
Marco Banguli N’sambwe Mbali,DRC,2005-11-18,2007-02-05,Finance
Marie Tumba Nzeza,DRC,2019-08-26,2019-12-31,Foreign Affairs
Marie-Ange Lukiana Mufwankol,DRC,2001-04-14,2003-07-30,Labour and Social Security
Marie-Ange Lukiana Mufwankol,DRC,2007-02-05,2008-10-26,Labour and Social Security
Marie-Ange Lukiana Mufwankol,DRC,2008-10-26,2012-04-28,Women Affairs
Marie-Ange Mushobekwa,DRC,2016-12-19,2019-01-23,Human Rights
Marie-Louise Mwange,DRC,2016-12-19,2017-05-09,"Gender, Family, and Children"
Marie-Madeleine Kalala,DRC,2003-07-30,2007-02-05,Human Rights
Marthe Ngalula Wakuana,DRC,2001-04-14,2003-07-30,Culture and Arts
Martin Bitijula Mahimba,DRC,2007-02-05,2007-11-26,Social Affairs and National Solidarity
Martin Kabwelulu Labilo,DRC,2007-02-05,2019-01-23,Mines
Martine Ntumba Bukasa,DRC,2016-12-19,2017-05-09,Rural Development
Mathieu Kalele Kabila,DRC,2006-10-16,2007-02-05,Mines
Matthieu Mpika,DRC,2008-10-26,2010-02-19,Transport
Matungulu Nguyamu,DRC,2001-04-14,2002-11-17,"Economy, Finance and Budget"
Matungulu Nguyamu,DRC,2002-11-17,2003-07-30,Finance and Budget
Mbusa Nyamwisi,DRC,2003-07-30,2007-02-05,Regional Cooperation
Mbusa Nyamwisi,DRC,2007-02-05,2008-10-26,Foreign Affairs and International Cooperation
Mbusa Nyamwisi,DRC,2008-10-26,2011-09-11,Decentralization and Regional Planning
Michel Bongongo Ikoli Ndombo,DRC,2014-12-09,2016-12-19,Budget
Michel Bongongo Ikoli Ndombo,DRC,2016-12-19,2019-01-23,Civil Service
Michel Botoro,DRC,2008-10-26,2010-02-19,Civil Service
Michel Lokola Elemba,DRC,2008-10-26,2010-02-19,Budget
Mira Ndjoko,DRC,2001-04-14,2002-11-17,Interior
Modeste Bahati Lukwebo,DRC,2012-04-28,2014-12-09,"Employment, Work and Social Security"
