transformed,raw
Minister of Industry,Industry
Minister of Industry,Industry and Small and Medium Enterprises
Minister of Industry,"Industry, Commerce and Small and Medium Enterprises"
Minister of Industry,"Industry, Small and Medium Enterprises"
Minister of Information,Information
Minister of Information,Information and Press
Minister of Information,Information and Tourism
Minister of Information,"Information, Press, and National Communications"
Minister of Infrastructure,"Infrastructure, Public Works, and Reconstruction"
Minister of Infrastructure,Infrastructures and Public Works
Minister of Infrastructure,Vice-Prime Minister and Minister of Infrastructure and Public Works
Minister of Interior,Interior
Minister of Interior,Interior and Security
Minister of Interior,"Interior, Decentralization and Security"
Minister of Interior,"Interior, Security, Decentralization and Customary Affairs"
Minister of Interior,Vice-Prime Minister and Minister of Interior and Security
Minister of Interior,"Vice-Prime Minister and Minister of Interior, Security, Decentralization, and Regional Planning"
Minister of Interior,"Vice-Prime Minister and Minister of Interior, Security, and Customary Affairs"
Minister of International Cooperation,"International Cooperation, Regional Integration and Francophonie"
Minister of International Cooperation,International and Regional Cooperation
Minister of Justice,Justice
Minister of Justice,Justice and Human Rights
Minister of Justice,Vice-Prime Minister and Minister of Justice
Minister of Labour,Labour
Minister of Labour,Labour and Social Security
Minister of Labour,"Labour, Employment and Social Security"
Minister of Labour,Vice-Prime Minister and Minister of Labour and Social Security
Minister of Lands,"Land Affairs, Environment and Tourism"
Minister of Lands,Lands
Minister of Lands,"Lands, Environment, Fishing and Forest Resources"
Minister of Media,"Media, in charge of Relations with Parliament and Initiation to the new citizenship"
Minister of Mines,Mines
Minister of Mines,Mines and Hydrocarbons
Minister of National Security and Public Order,National Security and Public Order
Minister of Oil,Oil
Minister of Parastatals,Parastatals
Minister of Physical Planning,Physical Planning
Minister of Planning,Planning
Minister of Planning,Planning and Implementation of the Modernisation Revolution
Minister of Planning,Planning and Reconstruction
Minister of Planning,Planning and Trade
Minister of Planning,Vice-Prime Minister and Minister of Planning
Minister of Posts and Telecommunications,Posts and Telecommunications
Minister of Posts and Telecommunications,"Posts, Telecommunications and New Information and Communication Technologies"
Minister of Posts and Telecommunications,"Posts, Telecommunications and New Information and Communications Technologies"
Minister of Posts and Telecommunications,Vice-Prime Minister and Minister of Posts and Telecommunications
Minister of Posts and Telecommunications,"Vice-Prime Minister and Minister of Posts, Telecommunications and New Information and Communication Technologies"
Minister of Primary Education,Primary Education
Minister of Primary and Secondary Education,Primary and Secondary Education and Initiation to Citizenship
Minister of Primary and Secondary Education,Primary and Secondary Education and Professional Training
Minister of Primary and Secondary Education,"Primary and Secondary Education, and Professional Education"
Minister of Primary and Secondary Education,"Primary, Secondary, and Technical Education"
Minister of Public Works,Public Works
Minister of Public Works,Public Works and Infrastructure
Minister of Public Works,"Public Works, Territorial Administration, Housing and Urban Development"
Minister of Reconstruction,Reconstruction
Minister of Regional Cooperation,Regional Cooperation
Minister of Regional Integration,Regional Integration
Minister of Regional Planning,Regional Planning
Minister of Relations with the Parliament,Relations with the Parliament
Minister of Rural Development,Rural Development
Minister of Scientific Research,Scientific Research
Minister of Scientific Research,Scientific Research and Technical Innovation
Minister of Scientific Research,Scientific Research and Technology
Minister of Small and Medium Enterprises,Small and Medium Enterprises
Minister of Social Affairs,Social Affairs
Minister of Social Affairs,Social Affairs and National Solidarity
Minister of Social Affairs,"Social Affairs, Humanitarian Action and National Solidarity"
Minister of Social Affairs,"Social Affairs, Humanitarian Affairs, and National Solidarity"
Minister of Solidarity and Humanitarian Affairs,Solidarity and Humanitarian Action
Minister of Solidarity and Humanitarian Affairs,Solidarity and Humanitarian Affairs
Minister of Spatial Planning,"Spatial Planning, Town Planning, Housing, Infrastructures, Public Works and Reconstruction"
Minister of Spatial Planning,"Spatial planning, Town planning and Housing"
Minister of Sports,Sports
Minister of Sports,Sports and Leisure
Minister of Technical and Professional Education,Technical and Professional Education
Minister of Tourism,Tourism
Minister of Trade and Industry,Trade
Minister of Trade and Industry,"Trade, Small and Medium Enterprises"
Minister of Transport,Transport
Minister of Transport,Transport and Communications
Minister of Transport,Vice-Prime Minister and Minister of Transport
Minister of Urban Development,Urban Affairs and Housing
Minister of Urban Development,Urban Development
Minister of Urban Development,Urban Development and Housing
Minister of Urban Development,Urban Planning and Housing
Minister of Vocational Training,"Vocational training, Trades and Crafts"
Minister of Vocational Training,"Vocational Training, Arts, and Crafts"
Minister of Water Resources and Electricity,Water Resources and Electricity
Minister of Women Affairs,Women Affairs
Minister of Youth,Youth and Citizenship
Minister of Youth,Youth and Sports
Minister of Youth,Youth and and Initiation to Citizenship
Minister of Youth,"Youth, Sports, Culture and Arts"
Minister without Portfolio,Minister without Portfolio
Prime Minister,Prime Minister
Vice-President,Vice-President
Vice Prime Minister,Vice-Prime Minister
